4SIGHT HOLDINGS LIMITED | 4SI.JO
A E C I LIMITED | 
ABSA GROUP LIMITED | ABG.JO
ACCELERATE PROPERTY FUND LIMITED | APF.JO
ACSION LIMITED | ACS.JO
ADCOCK INGRAM HOLDINGS LIMITED | AIP.JO
ADCORP HOLDINGS LIMITED | ADR.JO
ADVTECH LIMITED | ADH.JO
AFINE INVESTMENTS LIMITED | ANI.JO
AFRICAN & OVERSEAS ENTERPRISES LIMITED | 
AFRICAN DAWN CAPITAL LIMITED | ADW.JO
AFRICAN MEDIA ENTERTAINMENT LIMITED | AME.JO
AFRICAN RAINBOW MINERALS LIMITED | ARI.JO
AFRIMAT LIMITED | AFT.JO
AFROCENTRIC INVESTMENT CORPORATION LIMITED | ACT.JO
AGRA LIMITED | 
AH-VEST LIMITED | AHL.JO
ALEXANDER FORBES GROUP HOLDINGS LIMITED | AFH.JO
ALPHA NAMIBIA INDUSTRIES RENEWABLE POWER LIMITED | 
ALPHAMIN RESOURCES CORPORATION | 
ALTRON LIMITED | AEL.JO
ALTVEST CAPITAL LIMITED | 
ANDRADA MINING LIMITED | 
ANGLO AMERICAN PLC | 
ANGLO AMERICAN PLC | 
ANGLOGOLD ASHANTI PLC | ANG.JO
ANHEUSER-BUSCH INBEV SA/NV | 
ARCELORMITTAL SOUTH AFRICA LIMITED | ACL.JO
aReit PROP LIMITED | 
ARGENT INDUSTRIAL LIMITED | ART.JO
ASCENDIS HEALTH LIMITED | ASC.JO
ASPEN PHARMACARE HOLDINGS LIMITED | APN.JO
ASSURA PLC | AHR.JO
ASTORIA INVESTMENTS LIMITED | 
ASTRAL FOODS LIMITED | ARL.JO
ATTACQ LIMITED | ATT.JO
AVENG LIMITED | AEG.JO
AVI LIMITED | AVI.JO
AYO TECHNOLOGY SOLUTIONS LIMITED | AYO.JO
B2GOLD CORPORATION | 
BALWIN PROPERTIES LIMITED | BWN.JO
BANNERMAN ENERGY LIMITED | 
BARLOWORLD LIMITED | BAW.JO
BELL EQUIPMENT LIMITED | BEL.JO
BHP GROUP LIMITED | 
BID CORPORATION LIMITED | BID.JO
BLUE LABEL TELECOMS LIMITED | BLU.JO
BOWLER METCALF LIMITED | BCF.JO
BOXER RETAIL LIMITED | BOX.JO
BRAIT PLC | BAT.JO
BRIKOR LIMITED | BIK.JO
BRIMSTONE INVESTMENT CORPORATION LIMITED | BRN.JO
BRITISH AMERICAN TOBACCO PLC | 
BURSTONE GROUP LIMITED | BTN.JO
BYTES TECHNOLOGY GROUP PLC | BYI.JO
CA SALES HOLDINGS LIMITED | CAA.JO
CAFCA LIMITED | 
CALGRO M3 HOLDINGS LIMITED | CGR.JO
CAPITAL APPRECIATION LIMITED | CTA.JO
CAPITEC BANK HOLDINGS LIMITED | CPI.JO
CAPRICORN GROUP LIMITED | 
CASHBUILD LIMITED | CSB.JO
CASTLEVIEW PROPERTY FUND LIMITED | CVW.JO
CAXTON AND CTP PUBLISHERS AND PRINTERS LIMITED | CAT.JO
CELSIUS RESOURCES LIMITED | 
CHOPPIES ENTERPRISES LIMITED | CHP.JO
CILO CYBIN HOLDINGS LIMITED | 
CITY LODGE HOTELS LIMITED | CLH.JO
CLICKS GROUP LIMITED | CLS.JO
CLIENTELE LIMITED | 
COLLINS PROPERTY GROUP LIMITED | CPP.JO
COMBINED MOTOR HOLDINGS LIMITED | CMH.JO
COMPAGNIE FINANCIERE RICHEMONT SA | 
CONDUIT CAPITAL LIMITED | 
COPPER 360 LIMITED | CPR.JO
CORONATION FUND MANAGERS LIMITED | CML.JO
CROOKES BROTHERS LIMITED | CKS.JO
CURRO HOLDINGS LIMITED | COH.JO
DATATEC LIMITED | DTC.JO
DEEP YELLOW LIMITED | 
DELTA PROPERTY FUND LIMITED | DLT.JO
DENEB INVESTMENTS LIMITED | DNB.JO
DEUTSCHE KONSUM REIT-AG | 
DIPULA PROPERTIES LIMITED | DIB.JO
DIS-CHEM PHARMACIES LIMITED | DCP.JO
DISCOVERY LIMITED | DSY.JO
DRDGOLD LIMITED | DRD.JO
EASTERN PLATINUM LIMITED | EPS.JO
EFORA ENERGY LIMITED | EEL.JO
ELEVATE URANIUM LIMITED | 
ELLIES HOLDINGS LIMITED | 
eMEDIA HOLDINGS LIMITED | EMH.JO
EMIRA PROPERTY FUND LIMITED | EMI.JO
enX GROUP LIMITED | ENX.JO
EPE CAPITAL PARTNERS LIMITED | 
