Company,Ticker,match_score,matched_name,needs_review
4SIGHT HOLDINGS LIMITED,4SI.JO,105.0,4Sight Holdings Ltd,False
A E C I LIMITED,,0.0,,True
ABSA GROUP LIMITED,ABG.JO,100.0,Absa Group Limited,False
ACCELERATE PROPERTY FUND LIMITED,APF.JO,90.9090909090909,Accelerate Prop Fund Ltd,False
ACSION LIMITED,ACS.JO,105.0,Acsion Limited,False
ADCOCK INGRAM HOLDINGS LIMITED,AIP.JO,81.25,Adcock Ingram Hldgs Ltd,False
ADCORP HOLDINGS LIMITED,ADR.JO,100.0,Adcorp Holdings Limited,False
ADVTECH LIMITED,ADH.JO,100.0,ADvTECH Ltd,False
AFINE INVESTMENTS LIMITED,ANI.JO,100.0,Afine Investments Ltd,False
AFRICAN & OVERSEAS ENTERPRISES LIMITED,,0.0,,True
AFRICAN DAWN CAPITAL LIMITED,ADW.JO,100.0,African Dawn Capital Ltd,False
AFRICAN MEDIA ENTERTAINMENT LIMITED,AME.JO,77.27272727272727,African Media Ent Ltd,False
AFRICAN RAINBOW MINERALS LIMITED,ARI.JO,88.37209302325581,African Rainbow Min Ltd,False
AFRIMAT LIMITED,AFT.JO,100.0,Afrimat Limited,False
AFROCENTRIC INVESTMENT CORPORATION LIMITED,ACT.JO,81.08108108108108,AfroCentric Inv Corp Ltd,False
AGRA LIMITED,,0.0,,True
AH-VEST LIMITED,AHL.JO,100.0,Ah Vest Ltd,False
ALEXANDER FORBES GROUP HOLDINGS LIMITED,AFH.JO,76.19047619047619,Alexander Forbes Grp Hldgs,False
ALPHA NAMIBIA INDUSTRIES RENEWABLE POWER LIMITED,,0.0,,True
ALPHAMIN RESOURCES CORPORATION,,0.0,,True
ALTRON LIMITED,AEL.JO,85.71428571428571,Altron Limited A,False
ALTVEST CAPITAL LIMITED,,0.0,,True
ANDRADA MINING LIMITED,,0.0,,True
ANGLO AMERICAN PLC,,0.0,,True
ANGLO AMERICAN PLC,,0.0,,True
ANGLOGOLD ASHANTI PLC,ANG.JO,105.0,AngloGold Ashanti plc,False
ANHEUSER-BUSCH INBEV SA/NV,,0.0,,True
ARCELORMITTAL SOUTH AFRICA LIMITED,ACL.JO,76.19047619047619,ArcelorMittal SA Limited,False
aReit PROP LIMITED,,0.0,,True
ARGENT INDUSTRIAL LIMITED,ART.JO,100.0,Argent Industrial Ltd,False
ASCENDIS HEALTH LIMITED,ASC.JO,105.0,Ascendis Health Ltd,False
ASPEN PHARMACARE HOLDINGS LIMITED,APN.JO,84.21052631578947,Aspen Pharmacare Hldgs Ltd,False
ASSURA PLC,AHR.JO,100.0,ASSURA PLC,False
ASTORIA INVESTMENTS LIMITED,,0.0,,True
ASTRAL FOODS LIMITED,ARL.JO,100.0,Astral Foods Ltd,False
ATTACQ LIMITED,ATT.JO,105.0,Attacq Limited,False
AVENG LIMITED,AEG.JO,100.0,Aveng Group Limited,False
AVI LIMITED,AVI.JO,105.0,AVI Ltd,False
AYO TECHNOLOGY SOLUTIONS LIMITED,AYO.JO,90.71428571428571,Ayo Tech Solutions Ltd,False
B2GOLD CORPORATION,,0.0,,True
BALWIN PROPERTIES LIMITED,BWN.JO,100.0,Balwin Properties Ltd,False
BANNERMAN ENERGY LIMITED,,0.0,,True
BARLOWORLD LIMITED,BAW.JO,100.0,Barloworld Ltd,False
BELL EQUIPMENT LIMITED,BEL.JO,105.0,Bell Equipment Ltd,False
BHP GROUP LIMITED,,0.0,,True
BID CORPORATION LIMITED,BID.JO,105.0,BID Corporation Ltd,False
BLUE LABEL TELECOMS LIMITED,BLU.JO,105.0,Blue Label Telecoms Ltd,False
BOWLER METCALF LIMITED,BCF.JO,100.0,Bowler Metcalf Ltd,False
BOXER RETAIL LIMITED,BOX.JO,105.0,Boxer Retail Limited,False
BRAIT PLC,BAT.JO,100.0,Brait plc,False
BRIKOR LIMITED,BIK.JO,100.0,Brikor Ltd,False
BRIMSTONE INVESTMENT CORPORATION LIMITED,BRN.JO,80.0,Brimstone Inv Corp Ltd-N,False
BRITISH AMERICAN TOBACCO PLC,,0.0,,True
BURSTONE GROUP LIMITED,BTN.JO,100.0,Burstone Group Limited,False
BYTES TECHNOLOGY GROUP PLC,BYI.JO,88.88888888888889,Bytes Technology Grp plc,False
CA SALES HOLDINGS LIMITED,CAA.JO,100.0,CA Sales Holdings Ltd,False
CAFCA LIMITED,,0.0,,True
CALGRO M3 HOLDINGS LIMITED,CGR.JO,75.0,Calgro M3 Hldgs Ltd,False
CAPITAL APPRECIATION LIMITED,CTA.JO,100.0,Capital Appreciation Ltd,False
CAPITEC BANK HOLDINGS LIMITED,CPI.JO,80.0,Capitec Bank Hldgs Ltd,False
CAPRICORN GROUP LIMITED,,0.0,,True
CASHBUILD LIMITED,CSB.JO,100.0,Cashbuild Ltd,False
CASTLEVIEW PROPERTY FUND LIMITED,CVW.JO,90.9090909090909,Castleview Prop Fund Ltd,False
CAXTON AND CTP PUBLISHERS AND PRINTERS LIMITED,CAT.JO,77.41935483870968,Caxton CTP Publish Print,False
CELSIUS RESOURCES LIMITED,,0.0,,True
CHOPPIES ENTERPRISES LIMITED,CHP.JO,100.0,Choppies Enterprises Ltd,False
CILO CYBIN HOLDINGS LIMITED,,0.0,,True
CITY LODGE HOTELS LIMITED,CLH.JO,100.0,City Lodge Hotels Ltd,False
CLICKS GROUP LIMITED,CLS.JO,100.0,Clicks Group Ltd,False
CLIENTELE LIMITED,,0.0,,True
COLLINS PROPERTY GROUP LIMITED,CPP.JO,88.88888888888889,Collins Property Grp Ltd,False
COMBINED MOTOR HOLDINGS LIMITED,CMH.JO,82.35294117647058,Combined Motor Hldgs Ltd,False
COMPAGNIE FINANCIERE RICHEMONT SA,,0.0,,True
CONDUIT CAPITAL LIMITED,,0.0,,True
COPPER 360 LIMITED,CPR.JO,100.0,Copper 360 Limited,False
CORONATION FUND MANAGERS LIMITED,CML.JO,87.5,Coronation Fund Mngrs Ld,False
CROOKES BROTHERS LIMITED,CKS.JO,100.0,Crookes Brothers Ltd,False
CURRO HOLDINGS LIMITED,COH.JO,100.0,Curro Holdings Limited,False
DATATEC LIMITED,DTC.JO,100.0,Datatec Ltd,False
DEEP YELLOW LIMITED,,0.0,,True
DELTA PROPERTY FUND LIMITED,DLT.JO,100.0,Delta Property Fund Ltd,False
DENEB INVESTMENTS LIMITED,DNB.JO,100.0,Deneb Investments Ltd,False
DEUTSCHE KONSUM REIT-AG,,0.0,,True
DIPULA PROPERTIES LIMITED,DIB.JO,100.0,Dipula Properties Ltd,False
DIS-CHEM PHARMACIES LIMITED,DCP.JO,100.0,Dis-Chem Pharmacies Ltd,False
DISCOVERY LIMITED,DSY.JO,100.0,Discovery Ltd,False
DRDGOLD LIMITED,DRD.JO,98.33333333333333,DRD Gold Ltd,False
EASTERN PLATINUM LIMITED,EPS.JO,100.0,Eastern Platinum Ltd,False
EFORA ENERGY LIMITED,EEL.JO,100.0,Efora Energy Limited,False
ELEVATE URANIUM LIMITED,,0.0,,True
ELLIES HOLDINGS LIMITED,,0.0,,True
eMEDIA HOLDINGS LIMITED,EMH.JO,92.3076923076923,E Media Holdings Ltd,False
EMIRA PROPERTY FUND LIMITED,EMI.JO,105.0,Emira Property Fund Ltd,False
enX GROUP LIMITED,ENX.JO,105.0,enX Group LImited,False
EPE CAPITAL PARTNERS LIMITED,,0.0,,True
EQUITES PROPERTY FUND LIMITED,EQU.JO,94.47368421052632,Equites Prop Fund Ltd,False
EUROPA METALS LIMITED,EUZ.JO,100.0,Europa Metals Limited,False
EXEMPLAR REITAIL LIMITED,EXP.JO,100.0,Exemplar REITail Ltd,False
EXXARO RESOURCES LIMITED,EXX.JO,105.0,Exxaro Resources Ltd,False
FAIRVEST LIMITED,FTB.JO,88.88888888888889,Fairvest Limited B,False
FAMOUS BRANDS LIMITED,FBR.JO,100.0,Famous Brands Ltd,False
FINBOND GROUP LIMITED,FGL.JO,100.0,Finbond Group Ltd,False
FIRSTRAND LIMITED,FSR.JO,100.0,Firstrand Ltd,False
FIRSTRAND LIMITED,FSR.JO,100.0,Firstrand Ltd,False
FIRSTRAND NAMIBIA LIMITED,,0.0,,True
FORSYS METALS CORPORATION,,0.0,,True
FORTRESS REAL ESTATE INVESTMENTS LIMITED,FFB.JO,76.36363636363637,Fortress Real Est Inv B,False
FRONTIER PROPERTY FUND LIMITED,,0.0,,True
FRONTIER TRANSPORT HOLDINGS LIMITED,FTH.JO,81.81818181818183,Frontier Transport Hldg Ld,False
GEMFIELDS GROUP LIMITED,GML.JO,100.0,Gemfields Group Limited,False
GLENCORE PLC,,0.0,,True
GLOBE TRADE CENTRE S.A.,,0.0,,True
GOLD FIELDS LIMITED,GFI.JO,100.0,Gold Fields Ltd,False
GRAND PARADE INVESTMENTS LIMITED,GPL.JO,80.0,Grand Parade Inv Ltd,False
GREENCOAT RENEWABLES PLC,,0.0,,True
GRINDROD LIMITED,GND.JO,100.0,Grindrod Ltd,False
GROWTHPOINT PROPERTIES LIMITED,GRT.JO,84.21052631578947,Growthpoint Prop Ltd,False
HAMMERSON PLC,HMN.JO,100.0,Hammerson plc,False
HARMONY GOLD MINING COMPANY LIMITED,,0.0,,True
HERIOT REIT LIMITED,,0.0,,True
HOSKEN CONSOLIDATED INVESTMENTS LIMITED,HCI.JO,65.21739130434783,Hosken Cons Inv Ltd,False
HUDACO INDUSTRIES LIMITED,HDC.JO,100.0,Hudaco Industries Ltd,False
HUGE GROUP LIMITED,HUG.JO,105.0,Huge Group Ltd,False
HULAMIN LIMITED,HLM.JO,100.0,Hulamin Ltd,False
HYPROP INVESTMENTS LIMITED,HYP.JO,76.42857142857143,Hyprop Inv Ltd,False
IMPALA PLATINUM HOLDINGS LIMITED,IMP.JO,90.71428571428571,Impala Platinum Hlgs Ltd,False
INSIMBI INDUSTRIAL HOLDINGS LIMITED,ISB.JO,68.57142857142857,Insimbi Ind Hldgs Ltd,False
INVESTEC LIMITED,,0.0,,True
INVESTEC LIMITED,,0.0,,True
INVESTEC PLC,INP.JO,100.0,Investec plc,False
INVICTA HOLDINGS LIMITED,IVT.JO,100.0,Invicta Holdings Ltd,False
iOCO LIMITED,IOC.JO,105.0,iOCO Limited,False
ISA HOLDINGS LIMITED,ISA.JO,105.0,ISA Holdings Limited,False
ITALTILE LIMITED,ITE.JO,100.0,Italtile Ltd,False
JSE LIMITED,JSE.JO,105.0,JSE Ltd,False
JUBILEE METALS GROUP PLC,JBL.JO,100.0,Jubilee Metals Group plc,False
KAL GROUP LIMITED,KAL.JO,105.0,KAL Group Limited,False
KAP LIMITED,KAP.JO,105.0,KAP Limited,False
KAROOOOO LIMITED,,0.0,,True
KIBO ENERGY PLC,KBO.JO,100.0,Kibo Energy plc,False
KORE POTASH PLC,,0.0,,True
KORYX COPPER INC,,0.0,,True
KUMBA IRON ORE LIMITED,KIO.JO,100.0,Kumba Iron Ore Ltd,False
LABAT AFRICA LIMITED,LAB.JO,105.0,Labat Africa Ltd,False
